143,Alankar,Boy,Gold; Ornament
144,Alisha,Girl,Protected By God
145,Alka,Girl,A Girl With A Lovely Hair
146,Alok,Boy,"Cry Of Victory, Invisible"
147,Alok Nath,Boy,Variant of 'Alok'
148,Alop,Boy,That which does not disappear
149,Alpana,Girl,A Decorative Design
150,Amaan,Boy,Aman
151,Amal,Boy,"Bright, Clean, Pure"
152,Amalendu,Boy,Pure like the moon
153,Amalesh,Boy,The pure one
154,Amanuday,Boy,Peace Rising
155,Amar,Boy,"Forever, Immortal"
156,Amara,Boy,Immortal
157,Amaravathy,Girl,Flowing River
158,Amardeep,Boy,Eternal Light
159,Amari,Girl,No Sign Of Stopping Anything
160,Amarjeet,Boy,Victorious
161,Amav,Boy,Ocean
162,Amay,Boy,Fair
163,Amaya,Girl,"Guileless, not cunning or free from deceit"
164,Amba,Girl,Goddess Parvati
165,Ambar,Boy,"Sky, Cloth Cover"
166,Ambarisha,Boy,Lord Of The Sky
167,Amber,Girl,From The Stone
168,Ambika,Girl,Goddess Parvati
169,Ambikapathi,Boy,Lord Of Shiva
170,Ambud,Boy,Cloud
171,Ambuj,Boy,"Born From Water, Lotus"
172,Ambuja,Girl,Born Of A Lotus
173,Ameet,Boy,Limitless
174,Ameya,Boy,"Boundless, Magnanimous"
175,Amin,Boy,"Trustworthy, honest"
176,Amirdeswaran,Boy,
177,Amish,Boy,Honest
178,Amit,Boy,"Endless, Boundless"
179,Amita,Girl,Without Limit
180,Amitaabh,Boy,One with boundless splendour
181,Amitabh,Boy,One With Endless Splendor
182,Amitava,Boy,Same As Amitabh
183,Amitesh,Boy,"Infinite God,Limitless"
184,Amitosh,Boy,Ever Happy
185,Amla,Girl,The Pure One
186,Amod,Boy,Happiness
187,Amodini,Girl,Joyful
188,Amogh,Boy,Unerring
189,Amol,Boy,"Priceless, Valuable"
190,Amoli,Girl,Precious
191,Amolika,Girl,Priceless
192,Amraj,Boy,
193,Amrapali,Girl,Famous Courtesan Who Became A Evotee Of Buddha
194,Amrik,Boy,"Nectar,"
195,Amrish,Boy,Lord Indra
196,Amrita,Girl,Immortality
197,Amrusha,Girl,Sudden
198,Amul,Boy,Priceless
199,Amulaya,Boy,Invaluable
200,Amulya,Boy,Priceless
201,Amulya,Girl,Priceless
202,Anagh,Boy,Sinless
203,Anahita,Girl,Graceful
204,Anamika,Girl,Ring-Finger
205,Anan,Boy,Cloud
206,Anand,Boy,"Bliss,Happiness"
207,Anandi,Girl,Jovial
208,Anandini,Girl,Joyful
209,Anandmoorti,Boy,Happiness Personified
210,Anang,Boy,Formless; Divine
211,Anant,Boy,Infinite
212,Anantram,Boy,Eternal God
213,Ananya,Girl,Without A Second
214,Ananyo,Boy,Sole; Peerless
215,"Anasuya, Anasooya",Girl,Wife Of Rishi Atri
216,Anay,Boy,Hindu Boy
217,Anaya,Girl,God answer
218,Anchal,Girl,The Decorative End Of A Sari
219,Aneesh,Boy,Supreme
220,Angad,Boy,Mythological Name
221,Angada,Boy,"Bracelet, Brother Of Wali & Sugreev"
222,Angak,Boy,Son
223,Angana,Girl,An Suspicious Or Handsome Woman
224,Anganaa,Girl,Beautiful Woman
225,Angarika,Girl,A Flame-Coloured Flower-Palash
226,Angee,Girl,Having Good Limbs
227,Anik,Boy,Soldier
228,Anika,Girl,Goddess Durga
229,Aniketh,Boy,Lord Of All
230,Anil,Boy,God Of Wind
231,Anilkumar,Boy,Son Of Wind ( Hanuman )
232,Animesh,Boy,One With Big Beautiful Eyes
233,Anindita,Girl,Beautiful
234,Aniruddh,Boy,Grandson Of Lord Krishna
235,Anirudhh,Boy,Hindu Boy
236,Anirudhha,Boy,"Independent, Unstoppable"
237,Anish,Boy,Supreme
238,Anish,Boy,Hindu Boy
239,Anisha,Girl,Uninterrupted
240,Anishaa,Girl,One Whose Life Has No Darkness
241,Anishka,Girl,One Who Has Only Friends And No Enemies.
242,Anit,Boy,Joyful Unending
243,Anita,Girl,Grace
244,Anjal,Boy,Hollow Formed By Joining Two Hands
245,Anjali,Girl,Offering With Both Hands
246,Anjalika,Boy,One Of Arjuna's Arrows
247,Anjan,Boy,Eye Liner
248,Anjana,Girl,Mother Of Hanuman
249,Anju,Girl,One Who Lives In The Heart
250,Anjuman,Boy,A Party Place (Mehfil)
251,Anjushree,Girl,Dear To One's Heart
252,Ankit,Boy,Conquered
253,Ankita,Girl,"One With Auspicious Marks, Empress"
254,Ankur,Boy,Sprout
255,Ankush,Boy,Control
256,Anmol,Girl,Priceless
257,Annapurna,Girl,Goddess Of Food
258,Anniruddha,Boy,Son Of Pradyummna
259,Anoop / Anup,Boy,"Incomparable, The Best"
260,Anshika,Girl,Minute Particle
261,Anshu,Boy,Ray Of Light
262,Anshu,Girl,Sun
263,Anshul,Boy,"Radiant, Bright Or Intelligent Person"
264,Anshula,Girl,Sunny
265,Anshuman,Boy,Sun
266,Ansu,Boy,Ray Of Light
267,Antara,Girl,A Notation In Indian Music
268,Antariksh,Boy,Space / Universe
269,Antriksa,Boy,Space; Outer Space; Sky
270,Anu,Girl,"An atom ,Angel"
271,Anubha,Girl,
272,Anubhav,Boy,Experience or perception
273,Anuhya,Girl,Something Unexpected
